VariantName,GrowthRate,GrowthRateStd,Rank
XCV,10.521500743075595,0.35576582441994214,147
FL.20.1,10.520599698567551,0.35497323816705956,148
FL.20,10.520066282589642,0.35477570824597293,149
JM.2,10.508900990748002,0.3518152405351828,150
XBB.1.16.15,10.508879486187364,0.3515545592704739,151
GJ.1.2.6,10.471225098697284,0.34517503434021013,152
GJ.1.2.7,10.470797232095286,0.34552390804574146,153
GK.1.4,10.458043813530274,0.34328295151574134,154
GA.2.1.1,10.456244261113472,0.3547274490765923,155
GS.4.1.1,10.455667000849616,0.346852701843559,156
GS.4.1,10.455579142623904,0.34636666907854685,157
FP.2.1.1,10.451148745155027,0.3437886433538373,158
EG.5,10.44680598141407,0.35146219966741543,159
EG.5.2.1,10.446066187461684,0.3517287018006445,160
GE.1.1,10.445607784389829,0.3442034595350643,161
EG.5.2.3,10.445349609471204,0.35168927704770697,162
EG.5.2,10.4422463077238,0.35098227550114697,163
EG.5.2.2,10.442232595029273,0.3509936803986822,164
GS.5,10.439433237527558,0.34274092607385426,165
GS.4,10.438998294970837,0.34253616014130067,166
GJ.5,10.43312006426777,0.3405890007257514,167
GJ.5.1,10.43073690089571,0.34168595698770265,168
HH.2.1,10.430512840012817,0.34101788250577275,169
GS.3,10.429860023290669,0.3402034289702538,170
HH.8.1,10.42973399800252,0.3402103549828773,171
HH.6,10.429719423677044,0.3402445295447481,172
GS.2,10.429610873903956,0.3400699751185994,173
GS.7.1,10.429592779707155,0.3405719284296569,174
GE.1.2,10.429545750823372,0.34125922451104396,175
GE.1.3,10.429331326895898,0.3401040897268474,176
GE.1.6,10.429261464951502,0.34046985259066553,177
GE.1.4,10.429241703397114,0.34016126194066376,178
GS.7,10.429185269155631,0.34032321690507633,179
GE.1,10.429123735771048,0.34001793132099734,180
GE.1.5,10.429123735771048,0.34001793132099734,181
XBB.2.3.11,10.429123735771048,0.34001793132099734,182
GS.8,10.42898183348256,0.34019699167234074,183
GS.6,10.42863916186083,0.3408760705593289,184
